oid,owner,customer,short_name,long_name,description,tls_dv,tls_ov,tls_ev,tls_iv,codesigning_ov,codesigning_ev
1.3.6.1.4.1.6449.1.2.2.21,Comodo,OptimumSSL,comodo-optimumssl,Comodo - OptimumSSL,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.22,Comodo,WoSign,comodo-wosign,Comodo - WoSign,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.23.1,Comodo,State of Oregon,comodo-stateoforegon-officeofstatetreasurer,Comodo - State of Oregon,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.24,Comodo,Register.com,comodo-registerdotcom,"Comodo - Register.com""",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.25,Comodo,The Code Project,comodo-thecodeproject,Comodo - The Code Project,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.26,Comodo,Gandi,comodo-gandi,Comodo - Gandi,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.27,Comodo,GlobeSSL,comodo-globessl,Comodo - GlobeSSL,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.28,Comodo,DreamHost,comodo-dreamhost,Comodo - DreamHost,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.29,Comodo,TERENA,comodo-terena,Comodo - TERENA,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.30,Comodo,SIGNGATE,comodo-sgtrust,Comodo - SIGNGATE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.31,Comodo,GlobalSSL,comodo-globalssl,Comodo - GlobalSSL,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.35,Comodo,IceWarp,comodo-icewarp,Comodo - IceWarp,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.1,Comodo,University of Texas,comodo-unioftexas-sanantonio,Comodo - University of Texas San Antonio,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.2,Comodo,University of Texas,comodo-unioftexas-austin,Comodo - University of Texas Austin,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.3,Comodo,University of Texas,comodo-unioftexas-dallas,Comodo - University of Texas Dallas,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.4,Comodo,University of Texas,comodo-unioftexas-panamerican,Comodo - University of Texas Pan American,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.5,Comodo,University of Texas,comodo-unioftexas-houston,Comodo - University of Texas Houston,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.36.6,Comodo,University of Texas,comodo-unioftexas-arlington,Comodo - University of Texas Arlington,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.37,Comodo,Dotname Korea,comodo-innossl,Comodo - Dotname Korea,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.38,Comodo,TrustSign,comodo-trustsign,Comodo - TrustSign,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.39,Comodo,Formidable,comodo-formidable,Comodo - Formidable,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.40,Comodo,SSL Blindado,comodo-sslblindado,Comodo - SSL Blindado,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.41,Comodo,Dreamscape Networks,comodo-crazydomains,Comodo - Dreamscape Networks,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.42,Comodo,K Software,comodo-ksoftware,Comodo - K Software,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.43,Comodo,McAfee,comodo-mcafee,Comodo - McAfee,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.44,Comodo,FBS,comodo-signsec,Comodo - FBS,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.45,Comodo,ReliaSite,comodo-reliasite,Comodo - ReliaSite,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.46,Comodo,Flextronics,comodo-flextronics,Comodo - Flextronics,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.47,Comodo,CertAssure,comodo-certassure,Comodo - CertAssure,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.49,Comodo,TrustAsia,comodo-trustasia,Comodo - TrustAsia,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.5,Comodo,eNom,comodo-securebusinessservices-ov,Comodo - eNom OV,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.50,Comodo,SecureCore,comodo-securecore,Comodo - SecureCore,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.51,Comodo,Western Digital,comodo-westerndigital,Comodo - Western Digital,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.52,Comodo,cPanel,comodo-cpanel,Comodo - cPanel,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.53,Comodo,BlackCert,comodo-blackcert,Comodo - BlackCert,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.54,Comodo,KeyNet Systems,comodo-keynet,Comodo - KeyNet Systems,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.55,Comodo,InterContinental Hotels,comodo-intercontinentalhotels,Comodo - InterContinental Hotels,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.56,Comodo,UPS,comodo-ups,Comodo - UPS,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.57,Comodo,Saint Barnabas Corp,comodo-saintbarnabas,Comodo - Saint Barnabas Corp,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.6,Comodo,DigiCert,comodo-digicert,Comodo - DigiCert,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.7,Comodo,,comodo-tls-dv,Comodo TLS DV,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.8,Comodo,CSC,comodo-csctrustedsecure,Comodo - CSC,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.9,Comodo,Digi-Sign,comodo-digisign,Comodo - Digi-Sign,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.3.1,Comodo,,comodo-usertrust,Comodo Usertrust,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.782.1.2.1.8.1,Network Solutions,,network-solutions-ev,Network Solutions EV OID,,,,TRUE,,,
1.3.6.1.4.1.7879.13.24.1,t-systems,,t-systems-ev,T-Systems International GmbH EV,,,,TRUE,,,
1.3.6.1.4.1.8024.0.2.100.1.1,QuoVadis,,quovadis-ov,QuoVadis OV,,FALSE,TRUE,FALSE,FALSE,,
1.3.6.1.4.1.8024.0.2.100.1.2,QuoVadis,,quovadis-ev,QuoVadis EV,,FALSE,FALSE,TRUE,FALSE,,
2.16.156.339.1.1.1.2.1,GDCA,,gdca-hong-kong-mutual-individual,Hong Kong-Guangdong mutual recognition individual certificates,,,,,,,
2.16.156.339.1.1.2.2.1,GDCA,,gdca-hong-kong-mutual-organization,Hong Kong-Guangdong mutual recognition organization certificates,,,,,,,
2.16.528.1.1001.1.1.1.12.6.1.1.1,DigiNotar,,diginotar,DigiNotar CPS 3.5,DigiNotar Certification Practice Statement (CPS) v 3.5,,,TRUE,,,
2.16.528.1.1003.1.1.1,Logius,,logius-pki-voor-deoverheid,Logius PKI voor deoverheid,,,,,,,
2.16.528.1.1003.1.2.5.6,Logius,,logius-ov,Logius OV,,FALSE,TRUE,FALSE,FALSE,,
2.16.528.1.1003.1.2.7,Logius,,logius-ev,Logius EV,,,,TRUE,,,
2.16.578.1.26.1.3.3,Buypass,,buypass-class3-ssl-ev,Buypass Class 3 CA SSL EV,,,,TRUE,,,
2.16.756.1.83.21.0,Swisscom,,swisscom-ev-ca2,Swisscom Root Extended Validation (EV) CA 2,,,,TRUE,,,
2.16.756.1.89.1.2.1.1,SwissSign,,swisscom-ev,Swisscom EV,,FALSE,FALSE,TRUE,FALSE,,
2.16.792.1.2.1.1.5.7.1.9,Kamu Sertifikasyon Merkezi,,kamu-sertifikasyon-merkezi,Kamu Sertifikasyon Merkezi SSL,,,,TRUE,,,
2.16.792.3.0.3.1.1.2,TurkTrust,,turktrust-ov,TurkTrust OV,,FALSE,TRUE,FALSE,FALSE,,
2.16.792.3.0.3.1.1.5,TurkTrust,,turktrust-ev,TurkTrust EV,,FALSE,FALSE,TRUE,FALSE,,
2.16.792.3.0.4.1.1.1,E-Tugra,,etugra,Qualified Electronic Certificate Policy,,,,,,,
2.16.792.3.0.4.1.1.2,E-Tugra,,etugra-ssl,Standard SSL Certificate Policy,,,,,,,
2.16.792.3.0.4.1.1.3,E-Tugra,,etugra-premium,Premium SSL Certificate Policy,,,,,,,
2.16.792.3.0.4.1.1.4,E-Tugra,,etugra-ev,E-Tugra EV SSL Certificate Policy,,,,TRUE,,,
2.16.840.1.101.3.2.1.1. 5,Identrust,,identrust-public-sector,Identrust Public Sector,,,,,,,
2.16.840.1.113733.1.7.23.1,Symantec,,symantec-class1,Symantec Class 1,,,,,,,
2.16.840.1.113733.1.7.23.2,Symantec,,symantec-class2,Symantec Class 2,,,,,,,
2.16.840.1.113733.1.7.23.3,Symantec,,symantec-class3,Symantec Class 3,,,,,,,
2.16.840.1.113733.1.7.23.3.2,Symantec,,symantec-class3-private,Symantec Class 3 (Private),,,,,,,
2.16.840.1.113733.1.7.23.6,Verisign,,verisign-ev,Verisign EV CPS v3.8,,,,TRUE,,,
2.16.840.1.113733.1.7.48.1,Thawte,,thawte-ev,Thawte EV CPS v. 3.3,,,,TRUE,,,
2.16.840.1.113733.1.7.54,Symantec,,symantec,Symantec,,,,,,,
2.16.840.1.113733.1.8.54.1,Symantec,,symantec-lt2048bit,Symantec <2048-bit,,,,,,,
2.16.840.1.113839.0.6.3,Identrust,,identrust-commercial,Identrust Commercial,,,,,,,
2.16.840.1.114028.10.1.2,Entrust,,entrust-ev,Entrust Extended Validation (EV),,,,TRUE,,,
2.16.840.1.114171.500.9,Wells Fargo,,wellsfargo-wellssecure,WellsFargo WellsSecure,,,,TRUE,,,
2.16.840.1.114404.1.1.2.4.1,Trustwave,,securetrust-ev,SecureTrust EV CPS v1.1.1,,,,TRUE,,,
2.16.840.1.114412.1.1,Digicert,,digicert-ov,Digicert OV,,FALSE,TRUE,FALSE,FALSE,,
2.16.840.1.114412.1.2,Digicert,,digicert-dv,Digicert DV,,TRUE,FALSE,FALSE,FALSE,,
2.16.840.1.114412.1.3.0.2,DigiCert,,digicert-ev,Digicert EV,DigiCert Extended Validation (EV) Certification Practice Statement (CPS) v. 1.0.3,,,TRUE,,,
2.16.840.1.114412.2.1,Digicert,,digicert-ev,Digicert EV,,FALSE,FALSE,TRUE,FALSE,,
2.16.840.1.114413.1.7.23.1,GoDaddy,,godaddy-dv,GoDaddy DV,,TRUE,FALSE,FALSE,FALSE,,
2.16.840.1.114413.1.7.23.2,GoDaddy,,godaddy-ov,GoDaddy OV,,FALSE,TRUE,FALSE,FALSE,,
2.16.840.1.114413.1.7.23.3,GoDaddy,,godaddy-ev,GoDaddy EV,,FALSE,FALSE,TRUE,FALSE,,
2.16.840.1.114414.1.7.23.1,Starfield,,starfield-dv,Starfield DV,,TRUE,FALSE,FALSE,FALSE,,
2.16.840.1.114414.1.7.23.2,Starfield,,starfield-ov,Starfield OV,,FALSE,TRUE,FALSE,FALSE,,
2.16.840.1.114414.1.7.23.3,Starfield,,starfield-ev,Starfield EV,,FALSE,FALSE,TRUE,FALSE,,
2.23.140,CA/B Forum,,cab,CA/B Forum,The CA/Browser Forum node,,,,,,
2.23.140.1.1,CA/B Forum,,cab-extended-validation,CA/B Forum Extended Validation,OID ARC for the Extended Validation Guidelines,,,,,,
2.23.140.1.2,CA/B Forum,,cab-baseline-requirements,CA/B Forum Baseline Requirements,Certificate issued in compliance with the Baseline Requirements,,,,,,
2.23.140.1.2.1,CA/B Forum,,cab-domain-validated,CA/B Forum Domain Validated,CAB Forum Compliant with Baseline Requirements: No entity identity asserted,TRUE,FALSE,FALSE,FALSE,,
2.23.140.1.2.2,CA/B Forum,,cab-organization-validated,CA/B Forum Organization Validated,Compliant with Baseline Requirements: Organization identity asserted,FALSE,TRUE,FALSE,FALSE,,
2.23.140.1.2.3,CA/B Forum,,cab-individual-validated,CA/B Forum Individual Validated,Compliant with Baseline Requirements: Individual identity asserted,FALSE,FALSE,FALSE,TRUE,,
2.23.140.1.3,CA/B Forum,,cab-extended-validation-code-signing,CA/B Forum CA/B Forum Extended Validation Code Signing,Extended Validation Code Signing,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2.23.140.1.31,CA/B Forum,,cab-ev-onion,CA/B Forum .onion EV,".onion EV Certificates, the TOR Service Descriptor OID",,,,,,
